rank,track,preprocessing,reduction,selection,model,accuracy,precision,recall,f1,roc_auc,fit_time_sec,predict_time_sec,baseline_accuracy,baseline_f1,delta_vs_baseline_accuracy,delta_vs_baseline_f1
1,multiclass,minmax,pca,none,mlp_ann,0.685651375277785,0.6856236898367657,0.6856599979802175,0.6850259662748334,,4.028471416667647,0.0029616943259800667,0.6746955111607763,0.6754969632652089,0.010955864117008662,0.009529003009624448
2,multiclass,standard,none,none,mlp_ann,0.6746955111607763,0.6768432534127701,0.6746945078936051,0.6754969632652089,0.3310722671536655,3.9922832500063428,0.0022720276707938,0.6746955111607763,0.6754969632652089,0.0,0.0
3,multiclass,standard,svd,none,mlp_ann,0.6713050913728499,0.6724674000395595,0.6713041100304897,0.6717827970777209,0.3308113749021654,4.04780426400248,0.0025768750007652,0.6746955111607763,0.6754969632652089,-0.003390419787926424,-0.0037141661874879883
4,multiclass,standard,pca,none,mlp_ann,0.6708694997541915,0.6718323446569491,0.6708670200151371,0.6711119388909749,,4.131404777668649,0.0014980833317773667,0.6746955111607763,0.6754969632652089,-0.003826011406584784,-0.004385024374234048
5,multiclass,robust,none,none,mlp_ann,0.6697396924991731,0.6719948656455675,0.6697387785762349,0.6703683554178385,,3.961301124669262,0.0030614166656353337,0.6746955111607763,0.6754969632652089,-0.004955818661603217,-0.005128607847370459
6,multiclass,robust,none,embedded_l1,mlp_ann,0.6631304221278365,0.6650243446099826,0.6631283027132033,0.6636519171921963,,4.242034236332984,0.0017649306634362665,0.6746955111607763,0.6754969632652089,-0.011565089032939846,-0.011845046073012622
7,multiclass,robust,pca,none,mlp_ann,0.6621737718409934,0.6628396069216752,0.6621717427886389,0.6623936962348944,,3.880044291669037,0.0024183750016769667,0.6746955111607763,0.6754969632652089,-0.012521739319782954,-0.013103267030314503
8,multiclass,standard,none,embedded_l1,mlp_ann,0.6619998436733266,0.6635874738325384,0.6620046001114285,0.6624003677466178,0.3339420819201669,4.510169264006739,0.004000041662948134,0.6746955111607763,0.6754969632652089,-0.012695667487449658,-0.013096595518591103
9,multiclass,minmax,pca,filter_correlation,mlp_ann,0.6534785656215688,0.656438321918175,0.653470451602947,0.6525696717733328,,3.6672953893382023,0.0023314579981766666,0.6746955111607763,0.6754969632652089,-0.0212169455392075,-0.02292729149187611
10,multiclass,minmax,pca,embedded_l1,mlp_ann,0.6506087508550674,0.6530056945547169,0.650603608602458,0.6488956190073006,,3.662413069328371,0.0014765836676814666,0.6746955111607763,0.6754969632652089,-0.024086760305708887,-0.026601344257908277
11,multiclass,minmax,svd,none,mlp_ann,0.6499140815719477,0.6522496403118633,0.649911549411483,0.6467345645732295,,3.4754741250071675,0.0014420833273713002,0.6746955111607763,0.6754969632652089,-0.024781429588828563,-0.028762398691979385
12,multiclass,robust,svd,none,mlp_ann,0.6492175750194512,0.6487631004888629,0.6492210788135026,0.648806569010805,,3.9823920969987134,0.0015092499961610335,0.6746955111607763,0.6754969632652089,-0.025477936141325097,-0.026690394254403893
13,multiclass,quantile,none,none,mlp_ann,0.6479122518331072,0.6510219507294358,0.6479092414128038,0.6490891110324437,,3.4006474303314462,0.0025959030026569668,0.6746955111607763,0.6754969632652089,-0.026783259327669118,-0.026407852232765205
14,multiclass,quantile,none,embedded_l1,mlp_ann,0.6467825353074407,0.6490379351664212,0.6467794113809071,0.6471730474427578,,4.390378444668992,0.001712888663557,0.6746955111607763,0.6754969632652089,-0.02791297585333563,-0.028323915822451085
15,multiclass,minmax,pca,wrapper_rfe,mlp_ann,0.6465223008437421,0.6484682779201599,0.6465167261821685,0.6446436728396713,,3.676773541670021,0.0014751943332763666,0.6746955111607763,0.6754969632652089,-0.028173210317034236,-0.03085329042553764
16,multiclass,minmax,pca,filter_anova,mlp_ann,0.645304644893709,0.6480425441434118,0.6453009986576389,0.6444923758506682,,3.683975180669222,0.0012115833330123,0.6746955111607763,0.6754969632652089,-0.029390866267067328,-0.031004587414540707
17,multiclass,quantile,none,none,svm,0.643129907692411,0.6586464575874093,0.6431295055050421,0.6374762010629311,,15.741912236330487,2.0542926943404987,0.643129907692411,0.6374762010629311,0.0,0.0
18,multiclass,standard,svd,filter_correlation,mlp_ann,0.643129885010073,0.6478629782907909,0.6431261013771966,0.6449133775672,0.3644664753456822,3.855489291997704,0.0012152223304534332,0.6746955111607763,0.6754969632652089,-0.03156562615070335,-0.030583585698008897
19,multiclass,standard,pca,wrapper_rfe,mlp_ann,0.6424345352568137,0.644753546739363,0.6424268935177463,0.6428560394660573,,3.9360829859991404,0.0016907083384769999,0.6746955111607763,0.6754969632652089,-0.032260975903962597,-0.03264092379915162
20,multiclass,standard,pca,embedded_l1,mlp_ann,0.6420001458020685,0.6439906635424011,0.6419927537465263,0.6423489059757918,,3.8980762913367166,0.0015148613310884335,0.6746955111607763,0.6754969632652089,-0.03269536535870776,-0.033148057289417165
21,multiclass,quantile,pca,none,svm,0.6409557829142386,0.6595703271059481,0.6409554025210971,0.6353634656005346,,6.830174569666269,1.1458528056682553,0.643129907692411,0.6374762010629311,-0.0021741247781723594,-0.002112735462396542
22,multiclass,standard,pca,filter_correlation,mlp_ann,0.6403470796920809,0.6440248824451403,0.6403432268635615,0.6414970034228418,,3.9019469720030124,0.0037394863320514,0.6746955111607763,0.6754969632652089,-0.03434843146869537,-0.033999959842367145
23,multiclass,quantile,pca,none,mlp_ann,0.639565264866424,0.6430582475858833,0.6395643624125281,0.6410727756251774,,4.15736690266931,0.0023576946599253,0.6746955111607763,0.6754969632652089,-0.03513024629435235,-0.03442418764003152
24,multiclass,standard,pca,filter_anova,mlp_ann,0.6382613479850349,0.6418428926222803,0.6382552483141056,0.6394308622018139,,3.8275172083328166,0.0011496803393431668,0.6746955111607763,0.6754969632652089,-0.03643416317574144,-0.03606610106339503
25,multiclass,standard,svd,wrapper_rfe,mlp_ann,0.6380009774273084,0.6414899222214419,0.6379916553479416,0.6390534852890061,0.3623793373336812,3.8203715553390794,0.0012654306677480334,0.6746955111607763,0.6754969632652089,-0.03669453373346787,-0.03644347797620284
26,multiclass,robust,pca,filter_correlation,mlp_ann,0.637216894367853,0.6377907665501374,0.6372097271818474,0.6367511553450117,,3.858869861001343,0.0012503333321849666,0.6746955111607763,0.6754969632652089,-0.0374786167929233,-0.03874580792019722
